LowerBounds,UpperBounds
917,1009
860,963
66,239
670,705
208,316
328,485
949,1015
527,666
293,518
138,283
421,455
852,1107
70,112
944,1363
527,648
484,515
511,719
849,1068
616,630
916,1102
976,1201
399,714
86,462
842,985
872,966
18,101
767,886
704,982
563,625
670,720
435,528
652,820
192,306
128,221
594,715
832,852
881,1238
390,490
429,596
749,1148
705,1151
443,595
156,248
863,1226
534,561
679,927
472,512
909,953
115,692
40,250
32,293
627,1167
894,1131
853,957
382,556
587,731
781,872
783,882
787,858
956,1268
788,1190
437,579
136,284
508,761
366,638
443,555
532,686
210,397
337,447
112,166
91,185
21,127
100,227
973,1070
565,851
680,721
861,1200
555,726
829,886
838,937
298,628
54,206
990,1056
573,777
763,810
488,538
694,769
900,1067
461,576
266,368
222,367
662,1276
587,618
186,840
137,336
22,665
552,1040
224,452
499,576
178,407
833,1112
894,964
276,550
493,876
908,1066
657,806
112,165
226,303
244,313
884,1179
313,431
771,855
802,1163
26,165
882,1262
430,519
275,328
426,541
115,185
819,1055
491,726
233,934
369,415
153,404
417,440
894,925
947,1059
520,676
564,682
465,952
844,1054
933,1004
2,51
108,284
315,725
948,1194
928,969
41,216
283,434
678,764
172,203
469,500
23,98
788,1123
723,779
290,789
239,578
597,727
844,944
500,892
958,1150
570,613
938,1841
152,544
674,839
832,929
867,1183
438,531
749,1227
330,378
515,675
292,439
413,460
711,904
510,574
410,529
98,327
219,287
603,885
88,279
215,268
175,516
825,964
894,1156
617,768
369,458
797,960
312,349
772,1047
181,343
798,962
179,302
334,460
427,669
703,879
886,1472
541,582
840,957
330,437
784,967
658,731
58,107
244,255
480,542
407,506
544,868
356,426
199,277
668,728
909,969
549,593
106,216
345,416
889,1037
109,163
289,398
642,725
934,1168
853,944
170,369
775,843
936,967
960,1084
683,754
964,1088
536,900
61,136
943,1004
977,1182
773,919
250,442
816,924
367,467
839,1068
185,282
733,895
625,675
964,1003
12,207
596,1012
38,174
395,481
499,851
214,317
249,404
584,791
685,927
452,582
336,569
346,491
63,339
131,412
565,586
959,1004
259,504
26,182
32,88
593,755
106,203
706,871
352,521
596,733
394,535
147,184
404,511
605,634
341,502
385,496
907,980
890,1055
337,421
966,1055
707,797
