LowerBounds,UpperBounds
297,454
89,115
147,290
214,366
85,148
147,721
269,639
283,1283
152,323
248,354
183,1071
99,162
287,748
92,329
178,547
285,592
256,988
81,143
233,531
55,848
208,773
97,117
199,703
36,321
36,205
72,341
111,181
87,294
223,320
97,249
185,345
65,517
280,1280
208,331
70,1070
19,113
41,266
247,684
158,321
299,1299
65,233
187,902
33,168
157,353
69,220
267,424
242,813
199,533
42,241
204,674
71,255
241,840
22,163
203,514
155,447
193,225
215,1100
282,839
119,181
157,954
151,461
70,209
170,193
65,821
173,271
187,465
99,466
224,349
50,108
141,437
290,706
39,842
41,156
166,300
109,143
264,858
6,158
58,146
283,542
224,335
128,296
201,338
179,238
106,132
284,709
208,471
279,468
128,182
101,179
117,212
116,613
212,267
274,408
239,599
52,274
167,225
288,877
220,476
246,366
276,588
263,331
153,358
104,196
118,150
176,256
230,380
168,338
263,460
271,636
176,696
36,317
31,284
138,309
230,350
77,168
220,401
299,369
38,69
204,319
269,611
231,609
250,1028
187,661
9,106
241,545
22,319
192,740
263,377
73,284
198,1198
183,887
251,513
33,169
200,467
258,722
213,769
236,293
140,713
193,500
15,152
96,188
164,379
103,497
192,947
147,499
230,280
283,422
4,66
24,503
281,396
156,339
235,1235
245,349
73,226
159,274
251,697
52,275
201,265
199,370
152,282
191,292
101,125
130,338
39,216
65,114
181,615
297,1297
48,214
32,226
204,321
72,159
116,151
92,551
23,224
208,660
80,667
170,464
62,194
124,236
270,542
49,322
134,367
61,263
5,79
4,65
194,480
78,807
104,165
220,416
151,282
56,449
27,53
150,428
120,530
110,350
78,226
96,348
260,654
210,479
153,793
204,414
226,380
165,226
222,401
184,330
156,425
38,225
297,575
107,547
228,447
229,372
114,242
282,777
207,253
229,303
111,1013
8,259
40,514
131,177
300,1300
53,473
150,351
178,509
36,160
8,378
159,211
38,193
276,485
37,251
128,491
175,872
287,430
285,535
1,109
83,285
85,155
185,378
67,638
138,533
148,537
157,787
164,783
4,148
135,300
119,481
260,411
29,477
226,343
9,181
248,275
83,423
84,165
3,62
231,295
228,338
294,536
282,401
95,165
184,372
169,1169
19,266
296,515
232,491
62,608
173,487
175,278
183,1183
206,324
157,362
4,308
238,307
210,216
233,272
153,400
262,740
184,385
43,859
2,130
131,516
19,196
193,347
247,322
164,455
191,822
240,557
225,682
270,570
174,504
43,568
192,715
51,211
180,414
139,219
0,860
29,296
300,340
105,185
56,81
230,740
295,559
239,312
179,571
277,562
264,361
6,411
261,319
18,125
133,716
258,432
285,566
58,259
250,532
223,586
41,554
29,241
148,282
114,243
118,445
8,1008
287,322
222,374
146,581
162,1080
267,462
3,73
108,768
53,261
226,305
5,263
48,263
280,348
253,296
27,1027
251,398
102,421
60,265
167,740
272,403
59,241
268,662
126,476
76,253
117,171
227,281
119,235
105,370
155,369
173,590
184,680
191,973
221,688
39,487
67,948
5,130
64,463
182,575
232,534
76,742
293,1063
15,176
141,1081
186,694
207,1050
57,239
250,290
283,1283
283,528
213,794
266,343
124,170
99,528
260,489
33,601
286,947
274,374
119,799
16,157
297,522
248,525
148,301
289,1011
100,532
80,325
125,598
294,463
267,438
205,608
295,518
234,334
130,253
163,1016
125,216
193,241
298,436
300,831
130,280
102,160
162,305
57,116
104,308
158,279
61,282
49,256
168,781
118,742
6,196
69,952
96,123
250,383
235,278
184,225
100,142
108,682
82,619
5,1005
34,71
131,703
90,447
110,248
42,142
213,390
60,388
250,446
253,332
110,608
191,603
2,70
177,406
210,674
270,538
242,658
242,669
216,436
133,309
246,666
230,933
19,575
13,161
240,442
206,285
173,610
127,213
282,891
155,558
176,792
253,302
295,570
12,107
181,291
194,277
258,374
93,674
13,108
252,1252
266,785
299,847
296,473
217,385
65,241
63,474
197,599
201,426
61,274
120,134
219,373
298,1298
260,326
111,478
204,588
20,444
255,432
46,468
157,217
57,180
83,98
198,301
256,430
259,567
268,349
109,317
52,119
109,1109
134,248
64,121
161,270
300,1134
155,728
56,342
272,460
94,1050
0,72
117,1055
155,261
61,128
267,641
123,1014
53,330
46,725
122,239
100,520
225,281
89,384
240,550
158,273
132,462
245,358
245,342
163,270
14,202
9,438
57,402
214,255
159,390
208,329
175,366
93,624
51,101
275,457
233,317
242,564
43,97
19,168
99,294
4,352
58,174
285,512
82,739
25,264
82,193
213,374
126,461
191,298
178,748
16,240
104,193
222,569
228,1211
165,679
253,673
25,178
211,265
279,876
12,170
169,301
11,77
101,278
135,260
213,273
203,395
194,761
56,123
28,187
111,730
84,200
13,109
272,991
154,800
104,388
111,171
156,582
158,196
294,691
214,379
137,800
38,414
269,544
44,330
108,624
236,580
95,420
1,19
161,317
18,143
144,177
184,456
35,69
253,888
277,559
272,521
9,162
102,264
97,254
134,474
137,340
185,530
131,301
3,377
296,341
135,372
66,119
55,63
20,785
248,288
279,666
166,691
2,1002
235,252
263,456
65,532
26,533
210,687
204,441
208,646
73,138
14,219
229,258
232,1232
41,306
90,306
287,708
225,653
278,599
211,286
164,455
5,333
0,230
136,692
94,427
133,233
284,913
16,207
254,327
238,426
148,487
294,457
170,217
78,339
270,647
4,138
243,579
58,133
290,683
270,1270
71,561
221,459
280,372
186,277
88,105
130,166
242,469
114,373
117,211
145,493
63,782
226,627
38,221
183,434
213,421
62,350
181,589
72,475
286,428
229,630
255,363
297,437
281,789
270,1195
33,164
36,351
236,1236
152,504
157,273
215,297
229,289
18,230
245,357
258,953
64,261
231,932
124,318
179,482
287,477
209,389
213,1073
82,149
213,776
261,412
58,390
74,592
220,365
240,407
298,553
236,382
121,1010
215,1215
280,542
186,533
274,492
164,292
182,588
42,128
160,184
155,219
296,597
72,349
30,845
135,444
281,329
39,999
236,407
52,264
59,91
30,807
116,616
142,857
133,921
294,419
203,459
126,548
1,164
24,247
145,167
126,484
127,185
278,424
91,492
7,127
15,357
120,686
135,203
140,369
107,535
