LowerBounds,UpperBounds
124,215
764,1695
282,310
572,587
95,128
300,500
89,398
893,968
468,609
471,860
14,191
468,691
311,383
358,474
517,609
517,581
839,1195
63,122
483,718
235,289
253,473
55,117
297,427
403,508
711,1080
416,452
539,652
352,511
186,292
841,895
868,969
672,840
877,1008
155,294
6,208
814,851
889,1000
152,214
589,875
555,614
553,612
661,909
953,1093
531,542
721,793
559,658
512,650
952,1073
764,894
954,1238
908,1019
449,546
28,194
416,543
124,225
729,781
811,1593
724,1167
581,763
481,584
529,1110
844,981
163,311
23,468
826,866
844,1190
803,922
951,1005
650,758
467,489
106,337
873,1283
269,352
50,148
819,1274
552,742
201,417
22,490
94,168
659,888
125,339
195,223
780,975
211,361
202,245
84,139
972,1178
516,577
935,1148
18,67
284,353
760,815
481,625
928,1069
963,1232
524,826
64,90
207,309
419,451
737,802
282,368
36,182
563,661
109,224
20,34
121,276
684,771
808,952
785,1100
440,683
469,622
909,1110
34,127
533,929
286,329
622,725
882,937
807,961
171,335
873,983
686,824
309,417
443,456
468,711
245,409
690,888
519,772
585,638
827,885
988,1171
702,813
91,292
527,560
648,820
142,196
445,494
584,697
308,419
143,205
719,793
561,836
650,724
394,479
768,868
569,739
121,586
580,712
656,765
599,672
409,588
951,1250
464,500
448,656
624,735
363,391
286,323
526,696
882,987
310,491
362,453
519,603
397,478
328,413
393,613
328,424
418,578
526,723
473,491
769,777
214,287
666,721
148,205
645,747
375,401
830,1141
871,931
604,849
206,273
321,915
356,517
99,359
906,1056
547,906
685,802
95,208
162,279
661,732
862,1257
990,1111
324,428
346,437
748,913
824,928
96,348
593,814
651,813
698,826
443,877
195,305
395,489
810,934
219,272
711,969
878,1162
772,973
432,702
17,458
209,233
64,228
729,844
925,1232
29,239
348,644
848,1086
943,1171
586,707
603,725
600,1125
862,1061
536,868
946,1019
496,513
297,419
999,1220
307,455
992,1126
583,1212
804,853
973,1138
140,422
775,824
239,331
998,1129
57,138
512,652
93,198
264,544
684,799
996,1280
683,735
555,587
186,388
792,906
964,1159
461,552
254,459
862,905
377,463
532,766
889,929
976,1102
400,606
739,928
950,1465
907,981
722,919
666,797
990,1276
292,396
232,325
690,853
162,240
274,525
255,594
415,541
53,115
796,836
166,401
100,309
421,697
74,265
449,635
660,714
615,820
522,681
401,524
17,139
405,507
43,229
380,478
329,435
242,263
189,274
324,439
220,424
356,799
425,514
853,1457
298,633
779,943
650,694
120,185
553,663
431,446
257,652
605,694
210,571
537,569
323,421
556,748
630,1223
587,747
362,503
125,187
778,1070
323,498
893,940
110,424
229,337
656,896
775,896
293,378
257,672
774,959
188,316
484,497
401,630
950,1140
478,798
438,730
312,364
582,916
749,869
552,594
857,1210
459,554
314,519
545,619
720,884
944,1111
158,324
992,1083
986,1034
831,1120
567,692
764,978
755,879
882,1173
421,435
520,582
505,733
156,206
921,1246
147,398
855,994
902,1207
505,703
962,1510
487,610
609,705
401,436
790,1271
416,686
264,333
665,755
528,807
894,1330
971,994
968,1232
949,1010
729,816
758,884
520,561
603,992
584,686
90,153
576,707
618,672
493,580
312,355
753,765
601,812
564,825
634,830
374,634
0,212
991,1026
956,1107
213,392
853,1006
317,355
931,1135
610,816
38,138
597,632
242,292
97,149
393,478
222,389
587,1105
164,220
604,784
964,1222
788,908
416,591
957,1031
651,677
753,1126
550,581
337,347
19,134
871,994
162,342
514,581
965,1122
209,807
499,639
522,591
724,810
18,105
366,478
22,62
690,881
213,670
353,488
674,850
545,785
469,572
267,272
645,845
300,375
76,329
990,1046
875,992
108,423
883,1067
463,641
239,311
235,279
378,490
433,466
435,686
516,577
418,701
937,963
525,845
598,752
539,746
712,738
291,431
917,1067
722,931
93,326
759,887
258,422
575,590
840,1095
82,125
693,974
117,295
458,498
417,683
457,483
622,1004
960,1094
742,850
357,508
381,663
872,1190
877,905
586,831
207,589
688,795
709,1047
822,897
489,725
246,262
207,277
670,714
742,875
999,1039
439,646
480,551
667,750
283,386
424,539
331,341
465,761
309,349
927,962
272,400
407,423
801,995
555,639
653,724
640,976
652,760
840,929
374,432
447,489
881,1084
792,908
505,1320
437,491
133,168
898,976
437,609
640,774
854,1236
127,341
42,247
196,264
228,295
501,634
388,440
925,1001
574,601
258,291
889,1036
733,844
425,498
713,941
605,654
941,958
526,774
462,666
355,553
850,1304
637,857
931,1087
487,503
604,665
518,550
104,153
862,954
338,965
525,613
450,575
18,389
3,48
304,480
96,217
935,975
220,322
542,646
948,1069
944,1062
373,741
217,250
878,998
844,934
768,878
490,541
526,713
571,771
307,440
973,1111
714,847
510,909
9,182
113,202
459,997
72,150
88,365
51,256
44,398
75,115
918,1154
381,618
11,236
35,246
307,563
420,910
781,847
310,350
634,899
717,895
690,886
264,424
907,998
283,400
423,559
44,133
747,827
438,455
674,755
87,339
941,1329
814,877
889,908
199,274
988,1172
24,217
691,777
761,981
864,981
800,1300
656,717
562,759
550,637
778,941
726,773
446,958
932,1087
16,171
498,509
391,507
251,292
430,533
738,797
876,977
852,910
370,583
844,850
561,1702
253,456
194,473
120,159
337,462
577,646
671,918
264,269
662,712
21,135
919,987
234,333
758,776
775,1560
93,374
252,348
612,700
788,975
265,290
445,664
190,256
240,250
120,189
494,1246
377,617
414,763
454,546
494,529
579,1081
228,420
281,473
892,930
370,389
934,1188
635,723
295,379
480,571
611,749
517,760
163,420
393,576
718,1213
717,1246
356,660
869,900
761,1119
864,888
339,497
4,50
795,893
258,921
41,180
745,876
849,1112
551,931
372,465
953,1099
251,368
929,953
358,463
209,356
496,535
83,217
820,971
510,611
891,927
688,809
92,390
386,429
713,1040
472,572
715,827
127,558
808,950
888,1288
5,71
48,117
287,405
344,537
289,579
902,1082
509,565
762,780
369,379
868,955
294,408
509,659
230,348
889,981
230,297
714,786
253,414
104,168
793,905
114,249
279,403
54,60
230,393
187,273
827,899
779,901
335,374
871,968
398,501
782,1430
20,260
549,652
708,764
187,246
953,980
522,541
603,901
32,281
971,1644
851,1602
221,359
597,654
981,1035
808,916
87,289
932,979
465,931
167,292
820,846
842,911
230,392
623,648
761,860
263,296
456,478
576,685
589,720
734,928
437,593
763,820
791,805
554,708
210,498
225,701
445,493
213,318
461,662
975,1136
447,597
467,502
564,638
514,644
910,929
479,642
832,1048
233,251
163,212
149,293
224,262
692,730
721,1101
408,558
348,567
308,404
374,530
447,573
144,320
737,1033
427,758
531,599
629,687
467,617
112,168
189,559
669,715
910,1030
552,762
578,843
282,588
995,1094
838,849
48,72
542,594
189,326
487,843
347,788
965,1105
605,774
119,273
86,315
435,621
403,479
229,344
785,831
281,323
763,816
348,394
942,1146
892,994
111,200
210,250
